iter	RMSE
0	13.49903968
1	13.08059811
2	12.68187888
3	12.30629496
4	11.9383217
5	11.54103735
6	11.15744326
7	10.82236663
8	10.52410997
9	10.1904584
10	9.88295398
11	9.593782053
12	9.298571105
13	8.992083938
14	8.709199317
15	8.456044422
16	8.21791987
17	7.95211564
18	7.727524086
19	7.482507477
20	7.26440985
21	7.034873403
22	6.805605791
23	6.584704204
24	6.381081314
25	6.19639149
26	6.020976765
27	5.842896291
28	5.668345315
29	5.489620919
30	5.344241949
31	5.193189471
32	5.037654126
33	4.882021008
34	4.740508728
35	4.596874802
36	4.467619043
37	4.335274506
38	4.211097274
39	4.096586279
40	3.980252989
41	3.869360687
42	3.761700126
43	3.65986952
44	3.554230277
45	3.456032949
46	3.365785279
47	3.271579649
48	3.187509759
49	3.104256179
50	3.022716868
51	2.950833883
52	2.868996037
53	2.788832618
54	2.716848038
55	2.641592318
56	2.573756898
57	2.506062951
58	2.440115592
59	2.37461543
60	2.308717035
61	2.251348031
62	2.195665264
63	2.137890096
64	2.08479312
65	2.037735149
66	1.988643745
67	1.938409778
68	1.887930298
69	1.843987662
70	1.798363228
71	1.756660912
72	1.712092352
73	1.671877057
74	1.635970933
75	1.603547989
76	1.57190291
77	1.541522398
78	1.505564935
79	1.475451523
80	1.445212488
81	1.416505088
82	1.385440429
83	1.35536912
84	1.328373053
85	1.301332588
86	1.274640937
87	1.253282977
88	1.232016381
89	1.206021463
90	1.180979787
91	1.159641141
92	1.138517891
93	1.116088727
94	1.096323127
95	1.077953283
96	1.058619304
97	1.040369395
98	1.022747541
99	1.005599987
100	0.9901283163
101	0.9760275231
102	0.9628088711
103	0.9483233899
104	0.9343303682
105	0.9196380545
106	0.9059124918
107	0.8919149623
108	0.8809581712
109	0.8680037006
110	0.8572044664
111	0.846933452
112	0.8372109964
113	0.8292024787
114	0.8193329683
115	0.8119425445
116	0.8023677243
117	0.7990590197
118	0.791158058
119	0.7886249392
120	0.7864849627
121	0.7767560858
122	0.770025352
123	0.7632788061
124	0.7588041945
125	0.7508318051
126	0.7483751823
